Comment,Designator,Description,Quantity,Note/Misc,JLCPCB Part #,Footprint JLCPCB,Part No

"0.1u","C1","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"10u","C2","Capacitor SMD 1206","1","25V, 1206","C9807","1206","CL31A106KAHNNNE"
"22u","C3","Capacitor SMD 1206","1","25V, 1206","C12891","1206","CL31A226KAHNNNE"
"10u","C4","Capacitor SMD 1206","1","25V, 1206","C9807","1206","CL31A106KAHNNNE"
"22u","C5","Capacitor SMD 1206","1","25V, 1206","C12891","1206","CL31A226KAHNNNE"
"1u","C6","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"3.3n","C7","Capacitor SMD 0402","1","","C527004","0402","CC0402JRX7R8BB332"
"10u","C8","Capacitor SMD 1206","1","25V, 1206","C9807","1206","CL31A106KAHNNNE"
"22u","C9","Capacitor SMD 1206","1","25V, 1206","C12891","1206","CL31A226KAHNNNE"
"3.3n","C10","Capacitor SMD 0402","1","","C527004","0402","CC0402JRX7R8BB332"
"1u","C11","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"1u","C12","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"0.1u","C13","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C14","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C15","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C16","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C17","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C18","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C19","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C20","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C21","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C22","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C23","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"4.7u","C24","Capacitor SMD 0402","1","","C22367824","0402","HGC0402R5475M250NTEJ"
"0.1u","C25","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C26","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C27","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C28","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"4.7u","C29","Capacitor SMD 0402","1","","C22367824","0402","HGC0402R5475M250NTEJ"
"0.1u","C30","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C31","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C32","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C33","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C34","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C35","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C36","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"4.7u","C37","Capacitor SMD 0402","1","","C22367824","0402","HGC0402R5475M250NTEJ"
"1u","C38","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"0.1u","C39","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C40","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C41","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"0.1u","C42","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"1u","C43","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"1u","C44","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"0.1u","C45","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"1u","C46","Capacitor SMD 0402","1","10V","C14445","0402","CL05A105KP5NNNC"
"0.1u","C47","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"10u","C48","Capacitor SMD 0402","1","","C315248","0402","CL05A106MP5NUNC"
"0.1u","C49","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"10u","C50","Capacitor SMD 0402","1","","C315248","0402","CL05A106MP5NUNC"
"0.1u","C51","Capacitor SMD 0402","1","16V, 0402","C338112","0402","CL05B104KO5NNNC"
"10u","C52","Capacitor SMD 0402","1","","C315248","0402","CL05A106MP5NUNC"
